//note: If the string's repeated, We won't repeat it.

//TICKET: Manage ticket in site Backend

"Manage Email Gateways", "Manage Email Gateways"
"Manage Quick Response", "Manage Quick Response"
"Ticket Statistics", "Ticket Statistics"
"Manager Spam", "Manager Spam"
"Configuration", "Configuration"

//SYSTEM CONFIG: config
"Help Desk Pro", "Help Desk Pro"
"General Settings", "General Settings"
"Enable Help Desk Pro", "Enable Help Desk Pro"
"Email Gateway – Auto Update Interval (in minutes)", "Email Gateway – Auto Update Interval (in minutes)"
"(Ex: 1/5 Or 1/5 - 6/5 (dd/mm) | Title: International Labor Day)", "(Ex: 1/5 Or 1/5 - 6/5 (dd/mm) | Title: International Labor Day)"
"Notify Staff of missed ticket (In hours, 0 means do not notify operator)", "Notify Staff of missed ticket (In hours, 0 means do not notify operator)"
"Staff Notification Interval (In hours, default is 4 hours)", "Staff Notification Interval (In hours, default is 4 hours)"
"Ticket Auto-Closed in ( # of hours, 0 means ticket will not be auto-closed):", "Ticket Auto-Closed in ( # of hours, 0 means ticket will not be auto-closed):"
"After specified time from when Staff replies to ticket and no more request is sent from the customer, this ticket will be auto-closed", "After specified time from when Staff replies to ticket and no more request is sent from the customer, this ticket will be auto-closed"
"Auto-Delete Closed Tickets after (# of days)", "Auto-Delete Closed Tickets after (# of days)"
"Auto-Delete Tickets Log after (# of days)", "Auto-Delete Tickets Log after (# of days)"
"Enter 0 or leave empty if do not delete ticket logs", "Enter 0 or leave empty if do not delete ticket logs"
"Enter 0 or leave empty if do not delete closed tickets", "Enter 0 or leave empty if do not delete closed tickets"
"Set Support Dept. Working Time", "Set Support Dept. Working Time"
"Display Support Dept’s Working Hours/Days", "Display Support Dept’s Working Hours/Days"
"Timezone", "Timezone"
"Support dept. hours (From, to)", "Support dept. hours (From, to)"
"Break time (From, to)", "Break time (From, to)"
"Support Department Extra Days Off (Holidays etc)", "Support Department Extra Days Off (Holidays etc)"
"Normal Working Days", "Normal Working Days"
"'Contact Us' Form/Page Configuration", "'Contact Us' Form/Page Configuration"
"Overwrite Magento 'Contact Us' Form", "Overwrite Magento 'Contact Us' Form"
"Add CMS Static Block to 'Contact Us' Page", "Add CMS Static Block to 'Contact Us' Page"
"Enter 'CMS Static Block' Identifier", "Enter 'CMS Static Block' Identifier"
"Customer Configuration", "Customer Configuration"
"Expired Time", "Expired Time"
"Allow Client To Select Department", "Allow Client To Select Department"
"Default Department", "Default Department"
"If a ticket isn't assigned to any department it will be automatically assigned to default department. Please choose default department.", "If a ticket isn't assigned to any department it will be automatically assigned to default department. Please choose default department."
"Default Staff - Email address", "Default Staff - Email address"
"Customer Email Configuration", "Customer Email Configuration"
"Allow Client To Select Priority", "Allow Client To Select Priority"
"Allow Client To Select Order", "Allow Client To Select Order"
"Allow Client To Attach File", "Allow Client To Attach File"
"Max Upload File Size (Mb)", "Max Upload File Size (Mb)"
"Auto Create Ticket From Email", "Auto Create Ticket From Email"
"Use Reply-To as Client Email", "Use Reply-To as Client Email"
"Enable Delete Expired Ticket", "Enable Delete Expired Ticket"
"Add Static Block to Contact Us Page", "Add Static Block to Contact Us Page"

//---
"Enable Client New Ticket Notification", "Enable Client New Ticket Notification"
"Client New Ticket Template (Notify customer of new ticket)", "Client New Ticket Template (Notify customer of new ticket)"
"Enable Staff Response Notification", "Enable Staff Response Notification"
"Staff Response Template (Notify client of the reply from staff)", "Staff Response Template (Notify client of the reply from staff)"
"Enable Staff New Ticket Notification", "Enable Staff New Ticket Notification"
"Staff New Ticket Template (Notify staff of new ticket), "Staff New Ticket Template (Notify staff of new ticket)"
"Enable Client Response Notification", "Enable Client Response Notification"
"Client Response Template (Notify staff of the reply from client)", "Client Response Template (Notify staff of the reply from client)"
"Enable Ticket Reassign Notification", "Enable Ticket Reassign Notification"
"Ticket Reassignment Template (Notify staff of ticket reassignment)", "Ticket Reassignment Template (Notify staff of ticket reassignment)"
"Enable Late Response Notification", "Enable Late Response Notification"
"Enable Internal Note Notification", "Enable Internal Note Notification"
"Internal Note Notification Template (Notify Staff by Email)", "Internal Note Notification Template (Notify Staff by Email)"


"Tag HTML's Supported In Email", "Tag HTML's Supported In Email"
"Author Information", "Author Information"
"Default Email Sender", "Default Email Sender"
"Auto create support ticket sent from customer’s email address", "Auto create support ticket sent from customer’s email address"
"General Email Templates", "General Email Templates"
"Default Support Department", "Default Support Department"
